playerID,awardID,yearID,lgID,tie,notes
bluevi01,Most Valuable Player,1971,AL,,
torrejo01,Most Valuable Player,1971,NL,,
perryga01,Cy Young Award,1972,AL,,
carltst01,Cy Young Award,1972,NL,,
allendi01,Most Valuable Player,1972,AL,,
benchjo01,Most Valuable Player,1972,NL,,
palmeji01,Cy Young Award,1973,AL,,
seaveto01,Cy Young Award,1973,NL,,
jacksre01,Most Valuable Player,1973,AL,,
rosepe01,Most Valuable Player,1973,NL,,
hunteca01,Cy Young Award,1974,AL,,
marshmi01,Cy Young Award,1974,NL,,
burroje01,Most Valuable Player,1974,AL,,
garvest01,Most Valuable Player,1974,NL,,
palmeji01,Cy Young Award,1975,AL,,
seaveto01,Cy Young Award,1975,NL,,
lynnfr01,Most Valuable Player,1975,AL,,
morgajo02,Most Valuable Player,1975,NL,,
palmeji01,Cy Young Award,1976,AL,,
jonesra01,Cy Young Award,1976,NL,,
munsoth01,Most Valuable Player,1976,AL,,
morgajo02,Most Valuable Player,1976,NL,,
lylesp01,Cy Young Award,1977,AL,,
carltst01,Cy Young Award,1977,NL,,
carewro01,Most Valuable Player,1977,AL,,
fostege01,Most Valuable Player,1977,NL,,
guidrro01,Cy Young Award,1978,AL,,
perryga01,Cy Young Award,1978,NL,,
riceji01,Most Valuable Player,1978,AL,,
parkeda01,Most Valuable Player,1978,NL,,
flanami01,Cy Young Award,1979,AL,,
suttebr01,Cy Young Award,1979,NL,,
baylodo01,Most Valuable Player,1979,AL,,
hernake01,Most Valuable Player,1979,NL,Y,
stargwi01,Most Valuable Player,1979,NL,Y,
stonest01,Cy Young Award,1980,AL,,
carltst01,Cy Young Award,1980,NL,,
brettge01,Most Valuable Player,1980,AL,,
schmimi01,Most Valuable Player,1980,NL,,
fingero01,Cy Young Award,1981,AL,,
valenfe01,Cy Young Award,1981,NL,,
fingero01,Most Valuable Player,1981,AL,,
schmimi01,Most Valuable Player,1981,NL,,
vuckope01,Cy Young Award,1982,AL,,
carltst01,Cy Young Award,1982,NL,,
yountro01,Most Valuable Player,1982,AL,,
murphda05,Most Valuable Player,1982,NL,,
hoytla01,Cy Young Award,1983,AL,,
dennyjo01,Cy Young Award,1983,NL,,
ripkeca01,Most Valuable Player,1983,AL,,
murphda05,Most Valuable Player,1983,NL,,
hernawi01,Cy Young Award,1984,AL,,
sutclri01,Cy Young Award,1984,NL,,
hernawi01,Most Valuable Player,1984,AL,,
sandbry01,Most Valuable Player,1984,NL,,
saberbr01,Cy Young Award,1985,AL,,
goodedw01,Cy Young Award,1985,NL,,
mattido01,Most Valuable Player,1985,AL,,
mcgeewi01,Most Valuable Player,1985,NL,,
clemero02,Cy Young Award,1986,AL,,
scottmi03,Cy Young Award,1986,NL,,
clemero02,Most Valuable Player,1986,AL,,
schmimi01,Most Valuable Player,1986,NL,,
clemero02,Cy Young Award,1987,AL,,
bedrost01,Cy Young Award,1987,NL,,
bellge02,Most Valuable Player,1987,AL,,
dawsoan01,Most Valuable Player,1987,NL,,
violafr01,Cy Young Award,1988,AL,,
hershor01,Cy Young Award,1988,NL,,
cansejo01,Most Valuable Player,1988,AL,,
gibsoki01,Most Valuable Player,1988,NL,,
saberbr01,Cy Young Award,1989,AL,,
davisma01,Cy Young Award,1989,NL,,
yountro01,Most Valuable Player,1989,AL,,
mitchke01,Most Valuable Player,1989,NL,,
welchbo01,Cy Young Award,1990,AL,,
drabedo01,Cy Young Award,1990,NL,,
henderi01,Most Valuable Player,1990,AL,,
bondsba01,Most Valuable Player,1990,NL,,
clemero02,Cy Young Award,1991,AL,,
glavito02,Cy Young Award,1991,NL,,
ripkeca01,Most Valuable Player,1991,AL,,
pendlte01,Most Valuable Player,1991,NL,,
eckerde01,Cy Young Award,1992,AL,,
maddugr01,Cy Young Award,1992,NL,,
eckerde01,Most Valuable Player,1992,AL,,
bondsba01,Most Valuable Player,1992,NL,,
mcdowja01,Cy Young Award,1993,AL,,
maddugr01,Cy Young Award,1993,NL,,
thomafr04,Most Valuable Player,1993,AL,,
bondsba01,Most Valuable Player,1993,NL,,
coneda01,Cy Young Award,1994,AL,,
maddugr01,Cy Young Award,1994,NL,,
thomafr04,Most Valuable Player,1994,AL,,
bagweje01,Most Valuable Player,1994,NL,,
johnsra05,Cy Young Award,1995,AL,,
maddugr01,Cy Young Award,1995,NL,,
vaughmo01,Most Valuable Player,1995,AL,,
larkiba01,Most Valuable Player,1995,NL,,
hentgpa01,Cy Young Award,1996,AL,,
smoltjo01,Cy Young Award,1996,NL,,
gonzaju03,Most Valuable Player,1996,AL,,
caminke01,Most Valuable Player,1996,NL,,
clemero02,Cy Young Award,1997,AL,,
martipe02,Cy Young Award,1997,NL,,
griffke02,Most Valuable Player,1997,AL,,
walkela01,Most Valuable Player,1997,NL,,
clemero02,Cy Young Award,1998,AL,,
glavito02,Cy Young Award,1998,NL,,
gonzaju03,Most Valuable Player,1998,AL,,
sosasa01,Most Valuable Player,1998,NL,,
martipe02,Cy Young Award,1999,AL,,
johnsra05,Cy Young Award,1999,NL,,
rodriiv01,Most Valuable Player,1999,AL,,
jonesch06,Most Valuable Player,1999,NL,,
martipe02,Cy Young Award,2000,AL,,
johnsra05,Cy Young Award,2000,NL,,
giambja01,Most Valuable Player,2000,AL,,
kentje01,Most Valuable Player,2000,NL,,
clemero02,Cy Young Award,2001,AL,,
johnsra05,Cy Young Award,2001,NL,,
suzukic01,Most Valuable Player,2001,AL,,
bondsba01,Most Valuable Player,2001,NL,,
zitoba01,Cy Young Award,2002,AL,,
johnsra05,Cy Young Award,2002,NL,,
tejadmi01,Most Valuable Player,2002,AL,,
bondsba01,Most Valuable Player,2002,NL,,
hallaro01,Cy Young Award,2003,AL,,
gagneer01,Cy Young Award,2003,NL,,
rodrial01,Most Valuable Player,2003,AL,,
bondsba01,Most Valuable Player,2003,NL,,
santajo01,Cy Young Award,2004,AL,,
clemero02,Cy Young Award,2004,NL,,
guerrvl01,Most Valuable Player,2004,AL,,
bondsba01,Most Valuable Player,2004,NL,,
colonba01,Cy Young Award,2005,AL,,
carpech01,Cy Young Award,2005,NL,,
rodrial01,Most Valuable Player,2005,AL,,
pujolal01,Most Valuable Player,2005,NL,,
santajo01,Cy Young Award,2006,AL,,
webbbr01,Cy Young Award,2006,NL,,
morneju01,Most Valuable Player,2006,AL,,
howarry01,Most Valuable Player,2006,NL,,
sabatcc01,Cy Young Award,2007,AL,,
peavyja01,Cy Young Award,2007,NL,,
rodrial01,Most Valuable Player,2007,AL,,
rolliji01,Most Valuable Player,2007,NL,,
leecl02,Cy Young Award,2008,AL,,
linceti01,Cy Young Award,2008,NL,,
pedrodu01,Most Valuable Player,2008,AL,,
pujolal01,Most Valuable Player,2008,NL,,
greinza01,Cy Young Award,2009,AL,,
linceti01,Cy Young Award,2009,NL,,
mauerjo01,Most Valuable Player,2009,AL,,
pujolal01,Most Valuable Player,2009,NL,,
hernafe02,Cy Young Award,2010,AL,,
hallaro01,Cy Young Award,2010,NL,,
hamiljo03,Most Valuable Player,2010,AL,,
vottojo01,Most Valuable Player,2010,NL,,
verlaju01,Cy Young Award,2011,AL,,
kershcl01,Cy Young Award,2011,NL,,
verlaju01,Most Valuable Player,2011,AL,,
braunry02,Most Valuable Player,2011,NL,,
priceda01,Cy Young Award,2012,AL,,
dickera01,Cy Young Award,2012,NL,,
cabremi01,Most Valuable Player,2012,AL,,
poseybu01,Most Valuable Player,2012,NL,,
scherma01,Cy Young Award,2013,AL,,
kershcl01,Cy Young Award,2013,NL,,
cabremi01,Most Valuable Player,2013,AL,,
mccutan01,Most Valuable Player,2013,NL,,
klubeco01,Cy Young Award,2014,AL,,
kershcl01,Cy Young Award,2014,NL,,
troutmi01,Most Valuable Player,2014,AL,,
kershcl01,Most Valuable Player,2014,NL,,
keuchda01,Cy Young Award,2015,AL,,
arrieja01,Cy Young Award,2015,NL,,
donaljo02,Most Valuable Player,2015,AL,,
harpebr03,Most Valuable Player,2015,NL,,
troutmi01,Most Valuable Player,2016,AL,,
bryankr01,Most Valuable Player,2016,NL,,
porceri01,Cy Young Award,2016,AL,,
scherma01,Cy Young Award,2016,NL,,
altuvjo01,Most Valuable Player,2017,AL,,
stantmi03,Most Valuable Player,2017,NL,,
klubeco01,Cy Young Award,2017,AL,,
scherma01,Cy Young Award,2017,NL,,
bettsmo01,Most Valuable Player,2018,AL,,
yelicch01,Most Valuable Player,2018,NL,,
snellbl01,Cy Young Award,2018,AL,,
degroja01,Cy Young Award,2018,NL,,
troutmi01,Most Valuable Player,2019,AL,,
bellico01,Most Valuable Player,2019,NL,,
verlaju01,Cy Young Award,2019,AL,,
degroja01,Cy Young Award,2019,NL,,
abreujo02,Most Valuable Player,2020,AL,,
freemfr01,Most Valuable Player,2020,NL,,
biebesh01,Cy Young Award,2020,AL,,
bauertr01,Cy Young Award,2020,NL,,
ohtansh01,Most Valuable Player,2021,AL,,
harpebr03,Most Valuable Player,2021,NL,,
rayro02,Cy Young Award,2021,AL,,
burneco01,Cy Young Award,2021,NL,,
